condition,signal,pc1,pc2,pc3
uncoupled,4,-0.7548109,0.18591926,-0.98098433
uncoupled,4,4.4056854,3.6646667,6.5395617
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.6011424,0.90658283,-1.0077565
uncoupled,4,0.95757383,3.2083168,0.4644076
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-2.8416412,-0.727529,-6.427175
uncoupled,4,0.23756698,1.1106149,-1.0841492
uncoupled,4,-0.21137708,0.5670595,-0.45918542
uncoupled,4,-0.2837394,-0.07756731,0.011854727
uncoupled,4,-1.2101091,0.23751608,-0.9281523
uncoupled,4,1.0700613,0.5022063,1.6882285
uncoupled,4,-0.8293494,0.49266434,-0.82503474
uncoupled,4,0.0037849203,0.37444806,0.25676996
uncoupled,4,2.0497723,1.4574373,0.081242
uncoupled,4,2.4082773,-2.6590831,-2.3397803
uncoupled,4,1.669722,-6.044338,14.854225
uncoupled,4,-1.9408259,0.6839897,-0.09406651
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.42443973,1.6209023,-0.5829528
uncoupled,4,1.2084417,0.07545957,0.8317778
uncoupled,4,-1.3865993,0.5312611,5.8200464
uncoupled,4,1.4968204,0.8814287,2.325273
uncoupled,4,-0.6637635,0.063256525,0.32191396
uncoupled,4,5.9105353,4.0726,5.1438265
uncoupled,4,-0.22973798,0.44382033,0.5783513
uncoupled,4,0.82246643,-0.8606366,0.34327218
uncoupled,4,3.127954,1.4651961,0.47376096
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,54.212494,57.05002,-15.701183
uncoupled,4,-0.15710947,0.70706457,1.2036481
uncoupled,4,13.237736,-4.2048635,0.19723292
uncoupled,4,-1.0119872,1.4968053,1.3919983
uncoupled,4,-0.45583755,0.14042038,0.535685
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,0.4269048,-0.3339902,0.5785488
uncoupled,4,4.189259,-0.22532347,3.3355868
uncoupled,4,-0.16713586,-0.15453015,-1.1399254
uncoupled,4,0.8537571,0.1953244,1.1544517
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.25828782,0.16641282,0.5152056
uncoupled,4,0.058011275,2.3382814,-0.91288626
uncoupled,4,-0.4933318,-0.7272858,-0.9172897
uncoupled,4,-0.56947273,0.71083134,0.368414
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,-0.093970075,-0.4176971,0.06312045
uncoupled,4,0.6926236,0.54936785,1.0234765
uncoupled,4,5.2187743,5.741391,-1.3635207
uncoupled,4,-0.32705158,0.08387342,0.5826957
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,4,9.073366,-1.4730417,-2.630143
uncoupled,4,-0.41043103,-0.5835724,0.5413362
uncoupled,4,-0.5077782,0.11594184,-0.39758036
uncoupled,5,9.239167,-3.4181697,2.5518415
uncoupled,5,-0.5077782,0.11594184,-0.39758036
uncoupled,5,3.1910992,-1.023078,-1.2466768
uncoupled,5,-0.3929435,0.88983417,0.32069695
uncoupled,5,7.9996133,-8.973916,-7.9828467
uncoupled,5,-0.5077782,0.11594184,-0.39758036
uncoupled,5,1.5917134,0.3526359,0.31086826
uncoupled,5,4.4907455,-1.7017354,1.0593947
uncoupled,5,1.7276809,-0.04444769,1.5095432
uncoupled,5,2.8082407,1.4273266,0.15646793
uncoupled,5,-1.2971071,-0.18006602,-1.1420599
